"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15493","Check Loan Amount Change","webkit","Tue Jul 29 12:15:14 IST 2025","passed","Tue Jul 29 12:15:30 IST 2025","","loanCalculator.spec.js","",""
"","22033","Home Loan EMI Calculator Test","chromium","Tue Jul 29 12:52:10 IST 2025","passed","Tue Jul 29 12:52:32 IST 2025","","ui.spec.js","",""
"","20004","Home Loan EMI Calculator Test","webkit","Tue Jul 29 12:15:10 IST 2025","passed","Tue Jul 29 12:15:30 IST 2025","","ui.spec.js","",""
"","4746","Car Loan - EMI Calculation Check","Google Chrome","Tue Jul 29 13:56:00 IST 2025","passed","Tue Jul 29 13:56:05 IST 2025","","carLoan.spec.js","",""
"","32255","Home Loan - UI Elements Visibility","webkit","Tue Jul 29 12:14:31 IST 2025","broken","Tue Jul 29 12:15:03 IST 2025","","homeLoan.spec.js","",""
"","29099","Loan Calculator UI Validation","webkit","Tue Jul 29 12:14:44 IST 2025","passed","Tue Jul 29 12:15:13 IST 2025","","loanCalculator.spec.js","",""
"","17295","Home Loan EMI Calculator Test","webkit","Tue Jul 29 12:14:19 IST 2025","passed","Tue Jul 29 12:14:36 IST 2025","","homeLoan.spec.js","",""
"","12682","Car Loan Calculator - First Month Breakdown","webkit","Tue Jul 29 12:13:54 IST 2025","passed","Tue Jul 29 12:14:07 IST 2025","","carLoan.spec.js","",""
"","16285","Check Reuse Validation","webkit","Tue Jul 29 12:15:10 IST 2025","passed","Tue Jul 29 12:15:27 IST 2025","","loanCalculator.spec.js","",""
"","17205","Car Loan - Different Tenure","webkit","Tue Jul 29 12:14:07 IST 2025","passed","Tue Jul 29 12:14:24 IST 2025","","carLoan.spec.js","",""
"","22369","Home Loan - Total Interest Check","chromium","Tue Jul 29 12:51:27 IST 2025","passed","Tue Jul 29 12:51:50 IST 2025","","homeLoan.spec.js","",""
"","13771","Home Loan EMI Calculator Test","Google Chrome","Tue Jul 29 13:56:09 IST 2025","passed","Tue Jul 29 13:56:23 IST 2025","","homeLoan.spec.js","",""
"","7755","Loan Calculator UI Validation","chromium","Tue Jul 29 12:51:50 IST 2025","passed","Tue Jul 29 12:51:58 IST 2025","","loanCalculator.spec.js","",""
"","19794","Home Loan EMI Calculator Test","Google Chrome","Tue Jul 29 13:56:28 IST 2025","passed","Tue Jul 29 13:56:48 IST 2025","","ui.spec.js","",""
"","7790","Car Loan - Different Tenure","Google Chrome","Tue Jul 29 13:56:01 IST 2025","passed","Tue Jul 29 13:56:08 IST 2025","","carLoan.spec.js","",""
"","16251","Home Loan - Total Interest Check","Google Chrome","Tue Jul 29 13:56:09 IST 2025","passed","Tue Jul 29 13:56:26 IST 2025","","homeLoan.spec.js","",""
"","19364","Check Scale Change","webkit","Tue Jul 29 12:14:49 IST 2025","passed","Tue Jul 29 12:15:09 IST 2025","","loanCalculator.spec.js","",""
"","12982","Download EMI Excel and print amortization table","Google Chrome","Tue Jul 29 13:56:01 IST 2025","passed","Tue Jul 29 13:56:14 IST 2025","","example.spec.js","",""
"","22125","Home Loan - Insurance Impact","webkit","Tue Jul 29 12:14:27 IST 2025","passed","Tue Jul 29 12:14:49 IST 2025","","homeLoan.spec.js","",""
"","32531","Download EMI Excel and print amortization table","chromium","Tue Jul 29 12:50:58 IST 2025","broken","Tue Jul 29 12:51:30 IST 2025","","example.spec.js","",""
"","12264","Check Scale Change","chromium","Tue Jul 29 12:52:06 IST 2025","passed","Tue Jul 29 12:52:19 IST 2025","","loanCalculator.spec.js","",""
"","30227","Car Loan - Edge Case Input","chromium","Tue Jul 29 12:50:57 IST 2025","passed","Tue Jul 29 12:51:28 IST 2025","","carLoan.spec.js","",""
"","19941","Car Loan - UI Elements Visibility","webkit","Tue Jul 29 12:14:22 IST 2025","passed","Tue Jul 29 12:14:42 IST 2025","","carLoan.spec.js","",""
"","8323","Tenure data Validation","Google Chrome","Tue Jul 29 13:56:19 IST 2025","passed","Tue Jul 29 13:56:28 IST 2025","","loanCalculator.spec.js","",""
"","7934","Home Loan - UI Elements Visibility","Google Chrome","Tue Jul 29 13:56:11 IST 2025","passed","Tue Jul 29 13:56:19 IST 2025","","homeLoan.spec.js","",""
"","13690","Car Loan Calculator - First Month Breakdown","chromium","Tue Jul 29 12:50:56 IST 2025","passed","Tue Jul 29 12:51:10 IST 2025","","carLoan.spec.js","",""
"","12553","Check Reuse Validation","Google Chrome","Tue Jul 29 13:56:26 IST 2025","passed","Tue Jul 29 13:56:38 IST 2025","","loanCalculator.spec.js","",""
"","6736","Loan Calculator UI Validation","Google Chrome","Tue Jul 29 13:56:19 IST 2025","passed","Tue Jul 29 13:56:25 IST 2025","","loanCalculator.spec.js","",""
"","10476","Tenure data Validation","chromium","Tue Jul 29 12:52:04 IST 2025","passed","Tue Jul 29 12:52:15 IST 2025","","loanCalculator.spec.js","",""
"","33136","Home Loan - Insurance Impact","chromium","Tue Jul 29 12:51:34 IST 2025","broken","Tue Jul 29 12:52:07 IST 2025","","homeLoan.spec.js","",""
"","7515","Car Loan - UI Elements Visibility","Google Chrome","Tue Jul 29 13:56:00 IST 2025","passed","Tue Jul 29 13:56:08 IST 2025","","carLoan.spec.js","",""
"","20990","Home Loan - Total Interest Check","webkit","Tue Jul 29 12:14:25 IST 2025","passed","Tue Jul 29 12:14:46 IST 2025","","homeLoan.spec.js","",""
"","26674","Tenure data Validation","webkit","Tue Jul 29 12:14:46 IST 2025","passed","Tue Jul 29 12:15:12 IST 2025","","loanCalculator.spec.js","",""
"","14596","Car Loan - EMI Calculation Check","webkit","Tue Jul 29 12:14:04 IST 2025","passed","Tue Jul 29 12:14:18 IST 2025","","carLoan.spec.js","",""
"","13154","Home Loan - Maintenance Impact","Google Chrome","Tue Jul 29 13:56:16 IST 2025","passed","Tue Jul 29 13:56:29 IST 2025","","homeLoan.spec.js","",""
"","9656","Car Loan Calculator - First Month Breakdown","Google Chrome","Tue Jul 29 13:56:01 IST 2025","passed","Tue Jul 29 13:56:10 IST 2025","","carLoan.spec.js","",""
"","32174","Home Loan EMI Calculator Test","chromium","Tue Jul 29 12:51:10 IST 2025","broken","Tue Jul 29 12:51:43 IST 2025","","homeLoan.spec.js","",""
"","31902","Car Loan - Edge Case Input","webkit","Tue Jul 29 12:14:28 IST 2025","broken","Tue Jul 29 12:15:00 IST 2025","","carLoan.spec.js","",""
"","14754","Home Loan - Insurance Impact","Google Chrome","Tue Jul 29 13:56:14 IST 2025","passed","Tue Jul 29 13:56:29 IST 2025","","homeLoan.spec.js","",""
"","39734","Car Loan - UI Elements Visibility","chromium","Tue Jul 29 12:50:57 IST 2025","broken","Tue Jul 29 12:51:37 IST 2025","","carLoan.spec.js","",""
"","9703","Home Loan - Maintenance Impact","chromium","Tue Jul 29 12:51:50 IST 2025","passed","Tue Jul 29 12:51:59 IST 2025","","homeLoan.spec.js","",""
"","27353","Car Loan - Different Tenure","chromium","Tue Jul 29 12:50:57 IST 2025","passed","Tue Jul 29 12:51:25 IST 2025","","carLoan.spec.js","",""
"","11509","Check Loan Amount Change","chromium","Tue Jul 29 12:51:59 IST 2025","passed","Tue Jul 29 12:52:11 IST 2025","","loanCalculator.spec.js","",""
"","20940","Home Loan - UI Elements Visibility","chromium","Tue Jul 29 12:51:29 IST 2025","passed","Tue Jul 29 12:51:50 IST 2025","","homeLoan.spec.js","",""
"","12247","Check Loan Amount Change","Google Chrome","Tue Jul 29 13:56:26 IST 2025","passed","Tue Jul 29 13:56:38 IST 2025","","loanCalculator.spec.js","",""
"","28338","Car Loan - EMI Calculation Check","chromium","Tue Jul 29 12:50:57 IST 2025","passed","Tue Jul 29 12:51:26 IST 2025","","carLoan.spec.js","",""
"","7554","Check Scale Change","Google Chrome","Tue Jul 29 13:56:23 IST 2025","passed","Tue Jul 29 13:56:30 IST 2025","","loanCalculator.spec.js","",""
"","17333","Car Loan - Edge Case Input","Google Chrome","Tue Jul 29 13:56:01 IST 2025","passed","Tue Jul 29 13:56:18 IST 2025","","carLoan.spec.js","",""
"","11913","Check Reuse Validation","chromium","Tue Jul 29 12:51:58 IST 2025","passed","Tue Jul 29 12:52:10 IST 2025","","loanCalculator.spec.js","",""
"","31573","Home Loan - Maintenance Impact","webkit","Tue Jul 29 12:14:36 IST 2025","broken","Tue Jul 29 12:15:08 IST 2025","","homeLoan.spec.js","",""
"","16574","Download EMI Excel and print amortization table","webkit","Tue Jul 29 12:14:08 IST 2025","passed","Tue Jul 29 12:14:25 IST 2025","","example.spec.js","",""
